uuid,name,price_to_book,peg,pe,country,sector,ebitda_margin,gross_margin,operating_margin,year_pct_change,net_debt,revenue,ebitda,growth_level,growth_trend,ebitda_level,ebitda_trend,capex,total_asset
d55a2ad9-ccb1-498b-8ddd-805b68a30f78,James River Group Holdings Ltd,0.37328094,,10.404762,United States,Financial Services,0.07177,0.34627998,-0.03333,-0.22574627,101651008.0,666708992.0,47847668.0,-0.07841477182524165,-1.1243093172388088,-0.0803436725737326,-1.1299599383527856,4801000.0,4944384500.0
610e1e8d-b207-4980-af3b-f35012dfda77,Independence Realty Trust Inc,1.127366,,81.3,United States,Real Estate,0.56336,0.60807,0.12642,-0.17906618,2401530984.0,672384000.0,378796000.0,0.025297222204994974,-0.5101381296939292,0.02033565649983171,-9.496914033685908,156025000.0,6044069000.0
443c8a8d-7214-4f8b-b9d0-e038781623ac,Corvel Corp,8.0465555,-0.11,28.97549,United States,Financial Services,0.17826,0.24221,0.13678999,-0.5003936,-204084992.0,941492992.0,167835008.0,0.10680915495113852,-0.7001195258649994,,,44843000.0,599972500.0
f7975744-e4c7-454f-85c8-f318060e8ffc,HUYA Inc,0.865229,0.58,,China,Communication Services,-0.01345,0.13412,-0.03731,-0.19999999,-3797675040.0,6502400000.0,-87485000.0,0.06962937861843388,-1.2841693689592866,,,,7350317750.0
da9ada40-efa3-4a49-bafc-14cd95514c7d,New Mountain Finance Corp,0.690224,1.34,,United States,Financial Services,0.0,1.0,0.84541,-0.25369006,1277446000.0,310215008.0,,-0.8800937146550332,-6.229185759590214,,,,2894672750.0
934a1fff-0ea5-4cdf-bc84-3384dd98b13b,Employers Holdings Inc,0.9303573,1.32,94.23913,United States,Financial Services,0.0176,0.013309999,0.06696,-0.15645713,-38900000.0,863699968.0,15200000.0,0.024679170779861703,-0.8718443351424212,0.007512027107836827,-1.1346296364138062,2600000.0,3485700000.0
5295a88d-fb5d-4428-bd62-27192e2b8c42,Patrick Industries Inc,2.5338757,3.46,23.218508,United States,Consumer Cyclical,0.11294,0.23099001,0.06491,0.039202332,1568195968.0,3944525056.0,445484992.0,0.0632696599790672,-0.9784995086521325,0.06860524830132242,-1.2253669330955608,86256000.0,3130251000.0
815fae57-f9e7-49bd-ad59-212f28306ebb,Noah Holdings Ltd,0.48916638,0.75,8.7863245,Singapore,Financial Services,0.35764998,0.53393,0.35151002,0.08220601,-4915109152.0,2610240000.0,933564992.0,0.0035594248633785686,-0.9432106112342133,,,,11726367500.0
ca505465-c13c-4b1d-b896-25fff0658bce,Safety Insurance Group Inc,1.2443377,0.95,17.144207,United States,Financial Services,0.06957,0.071100004,-0.05479,-0.14923942,6270000.0,1276968960.0,88845000.0,0.13006324922031065,-0.7866743699456231,0.1629608673571682,-0.2943139617901248,4018000.0,2429931750.0
977e7ed9-07a9-4e05-a525-ae4ae11a70be,Canadian Solar Inc,0.41488567,0.13,,Canada,Technology,0.13024999,0.19418,0.05461,0.67415726,5266124032.0,5595106816.0,728745024.0,-0.09923493157839758,-6.110794687039594,-0.12312862365001953,-3.6030628500975244,1199622000.0,15168802000.0
8da2a88c-9566-4fb9-aa9f-0ab724f4054d,Marcus & Millichap Inc,1.932762,,,United States,Real Estate,0.01444,0.37847,-0.03303,-0.04051751,-112288000.0,781585024.0,11283000.0,0.07761403378400344,-1.1685254501512796,0.08143057961873057,-1.165267446060209,7872000.0,808476750.0
de61722c-db95-4486-bf87-f82203b9411f,Cactus Inc - Class A,3.3895068,,56.39252,United States,Energy,0.28531,0.33971,0.1437,0.32526755,-236374992.0,1187080960.0,338689984.0,-0.04012185755601372,-1.0756959835070439,-0.006708775406466527,-1.0664854810353237,38805000.0,1832497250.0
5bfb95f0-1ba4-423d-99c7-2c00f6ed137f,Dril-Quip Inc,,,,,,,,,,,,,,,,,,
